Actual_Target,Predicted_Target,Predicted_Probability
0,1,0.50599706
1,0,0.4985504
0,0,0.4647312
0,0,0.4760412
0,0,0.49254042
0,0,0.47615746
0,0,0.46446562
1,0,0.484207
0,0,0.470332
0,0,0.4662085
1,1,0.54442626
0,0,0.47926888
1,0,0.46419874
1,0,0.46435627
0,0,0.46467355
0,0,0.473384
1,0,0.49536783
0,0,0.46348765
0,1,0.5032463
1,0,0.46574095
1,0,0.46552917
0,0,0.46494326
1,0,0.48491818
0,1,0.6632141
0,0,0.48942298
1,1,0.5731316
0,0,0.46872342
0,0,0.49281687
1,0,0.46557412
1,1,0.6026903
0,0,0.47471136
1,0,0.4849274
0,0,0.49025017
0,0,0.47366023
0,0,0.464914
0,1,0.5328683
1,0,0.47001818
0,0,0.47092736
1,1,0.51267904
0,0,0.46409884
0,1,0.5196494
1,0,0.47772712
1,0,0.47630244
1,0,0.480063
0,0,0.4653371
1,0,0.4791463
0,1,0.5235459
0,0,0.46938023
0,0,0.4653264
1,0,0.4637521
0,0,0.4699798
1,0,0.47785825
0,0,0.46718523
1,1,0.50212073
1,0,0.48366672
0,1,0.53501207
1,0,0.46445432
1,0,0.46598157
0,0,0.4642235
1,1,0.5930129
0,0,0.4966573
0,1,0.63855416
0,0,0.49321878
1,1,0.50234735
0,0,0.48408294
1,1,0.5971764
1,0,0.49803
1,0,0.47090524
1,1,0.5448705
0,1,0.51729876
1,0,0.46730763
0,1,0.50041807
1,0,0.47105366
1,1,0.55557615
1,1,0.5803126
0,0,0.4748723
1,0,0.4690427
1,0,0.49017197
0,1,0.5326759
0,1,0.5214378
1,1,0.5237531
0,1,0.54245496
0,0,0.46305153
1,0,0.48406267
0,0,0.47397658
1,0,0.4647966
0,0,0.46474034
0,0,0.4755002
0,1,0.50049376
1,0,0.4654522
0,0,0.46939927
0,1,0.53114504
1,1,0.5314869
1,1,0.50650704
0,0,0.4732175
0,0,0.46777382
0,0,0.47765398
1,1,0.68023556
0,0,0.4635346
1,1,0.5455342
1,0,0.4694792
0,0,0.4664447
1,0,0.463233
0,0,0.4648595
1,0,0.47741285
0,1,0.5627253
0,1,0.51700586
0,0,0.47268948
1,1,0.5291461
0,0,0.49750608
1,1,0.5266997
1,0,0.46574464
1,0,0.49889416
0,1,0.5164246
0,0,0.46733
1,0,0.46602663
0,0,0.48989463
1,0,0.46336892
0,0,0.4827836
0,0,0.48749885
0,0,0.47464085
0,0,0.47476944
0,0,0.46583316
1,1,0.50063556
0,0,0.4636004
1,1,0.53703856
1,1,0.510798
0,1,0.5039557
1,0,0.49058294
0,0,0.4752003
1,0,0.4646611
0,0,0.4985338
1,1,0.50743484
0,0,0.46628502
0,0,0.47604683
1,1,0.5055751
0,0,0.46539512
1,0,0.4649361
0,0,0.4670951
0,1,0.5152592
0,0,0.4751335
0,0,0.46703878
1,0,0.47187048
1,0,0.46358612
